Date,MemberPartner,ServiceType,BilledAmount,CollectedAmount,Consumption_MG,AccountsBilled
2025-01-01,Wayne County,Water,2751334.05,2588696.88,717.4,44569
2025-01-01,Wayne County,Sewer,1747545.21,1730873.29,233.7,14192
2025-02-01,Detroit,Water,2496749.46,2308253.74,930.2,19155
2025-02-01,Detroit,Sewer,3434879.24,3300796.49,478.9,42099
2025-02-01,Dearborn,Water,1770961.38,1745096.62,838.6,10037
2025-02-01,Dearborn,Sewer,1261476.62,1120842.14,424.5,31170
2025-02-01,Livonia,Water,4190692.17,4078419.42,1457.8,22944
2025-02-01,Livonia,Sewer,3070655.29,2952733.39,915.0,21029
2025-02-01,Warren,Water,3830527.72,3745898.48,1125.4,43792
2025-02-01,Warren,Sewer,1391909.43,1282744.2,491.5,15171
2025-02-01,Sterling Heights,Water,3493023.29,3168956.87,842.2,25651
2025-02-01,Sterling Heights,Sewer,2683672.89,2475486.39,1244.8,38152
2025-02-01,Troy,Water,1241222.18,1218493.34,285.5,28093
2025-02-01,Troy,Sewer,4198623.15,4041888.59,883.4,28832
2025-02-01,Farmington Hills,Water,3599353.96,3197958.8,1464.1,44096
2025-02-01,Farmington Hills,Sewer,1052161.07,982266.87,872.6,10410
2025-02-01,Southfield,Water,3785064.52,3670491.51,1031.7,13925
2025-02-01,Southfield,Sewer,3410457.57,3051809.73,853.7,5631
2025-02-01,Romulus,Water,3626728.74,3407608.12,595.4,12614
2025-02-01,Romulus,Sewer,1897046.55,1824149.11,649.8,36006
2025-02-01,Wayne County,Water,3842748.12,3755450.01,525.8,43619
2025-02-01,Wayne County,Sewer,4051595.53,3693279.99,1012.5,42267
2025-03-01,Detroit,Water,2613825.3,2451234.68,419.2,40053
2025-03-01,Detroit,Sewer,1324260.51,1265667.65,1136.8,41658
2025-03-01,Dearborn,Water,1947906.59,1921126.61,253.6,3859
2025-03-01,Dearborn,Sewer,1076157.71,1064409.18,1202.3,19344
2025-03-01,Livonia,Water,3013841.92,2918002.61,741.6,43876
2025-03-01,Livonia,Sewer,902972.06,886930.44,909.3,44068
2025-03-01,Warren,Water,4052610.58,3791373.85,1246.1,28613
2025-03-01,Warren,Sewer,1811275.16,1609122.18,277.9,30809
2025-03-01,Sterling Heights,Water,2213113.94,2065744.56,642.3,11415
2025-03-01,Sterling Heights,Sewer,1862780.5,1793134.36,1154.5,24634
2025-03-01,Troy,Water,4116272.03,3684220.33,681.7,38808
2025-03-01,Troy,Sewer,1161025.37,1053978.66,359.3,31464
2025-03-01,Farmington Hills,Water,1642924.2,1464064.53,577.3,27175
2025-03-01,Farmington Hills,Sewer,3738157.09,3469329.38,1451.5,12466
2025-03-01,Southfield,Water,3565824.68,3520829.06,1137.5,14440
2025-03-01,Southfield,Sewer,3394612.68,3181772.29,869.1,34686
2025-03-01,Romulus,Water,3788857.26,3550907.86,317.1,27771
2025-03-01,Romulus,Sewer,2518511.17,2496270.1,479.7,25127
2025-03-01,Wayne County,Water,965437.65,880822.81,976.8,44877
2025-03-01,Wayne County,Sewer,3086570.05,2817609.62,210.6,9044
2025-04-01,Detroit,Water,2265154.42,2223209.22,1145.8,28427
2025-04-01,Detroit,Sewer,2044187.0,1893053.89,941.4,14756
2025-04-01,Dearborn,Water,2032580.84,1856130.86,702.3,31514
2025-04-01,Dearborn,Sewer,3398973.99,3100434.89,1485.8,42045
2025-04-01,Livonia,Water,1203957.47,1194487.77,712.1,24222
2025-04-01,Livonia,Sewer,2696628.25,2486411.87,387.5,41483
2025-04-01,Warren,Water,2531016.56,2372850.7,258.9,10980
2025-04-01,Warren,Sewer,3226212.28,3137349.73,875.1,11760
2025-04-01,Sterling Heights,Water,2861285.78,2687557.55,626.4,42178
2025-04-01,Sterling Heights,Sewer,1883002.11,1742134.3,1001.5,21610
2025-04-01,Troy,Water,2818663.83,2644868.47,862.6,34102
2025-04-01,Troy,Sewer,3209715.34,2935207.37,1260.5,26140
2025-04-01,Farmington Hills,Water,1926214.62,1719347.89,741.5,22163
2025-04-01,Farmington Hills,Sewer,3508966.37,3380581.31,1094.5,3746
2025-04-01,Southfield,Water,2829492.69,2576354.96,1052.3,39910
2025-04-01,Southfield,Sewer,2763956.95,2661582.78,958.6,13174
2025-04-01,Romulus,Water,2582389.93,2486676.3,1207.0,26916
2025-04-01,Romulus,Sewer,1302437.41,1248104.4,241.0,9202
2025-04-01,Wayne County,Water,1448666.71,1348302.26,744.4,29063
2025-04-01,Wayne County,Sewer,3147700.89,2918527.5,1207.5,32907
2025-05-01,Detroit,Water,3767580.21,3634288.07,281.0,11049
2025-05-01,Detroit,Sewer,2563522.92,2421252.47,1497.6,33350
2025-05-01,Dearborn,Water,2586622.31,2369556.97,425.1,36939
2025-05-01,Dearborn,Sewer,1963911.86,1808258.1,1203.6,44159
2025-05-01,Livonia,Water,3532418.6,3215919.73,829.4,18155
2025-05-01,Livonia,Sewer,1748621.75,1598812.78,1423.9,21504
2025-05-01,Warren,Water,3421992.51,3288752.47,1097.3,34047
2025-05-01,Warren,Sewer,1877938.53,1727914.46,1413.8,19921
2025-05-01,Sterling Heights,Water,1778483.88,1682356.53,906.1,27856
2025-05-01,Sterling Heights,Sewer,3582483.36,3545870.45,1246.0,21035
2025-05-01,Troy,Water,943026.06,933464.79,302.7,30991
2025-05-01,Troy,Sewer,3030304.97,2927104.68,478.2,37296
2025-05-01,Farmington Hills,Water,1721851.25,1626515.91,553.1,9158
2025-05-01,Farmington Hills,Sewer,2893301.92,2741361.64,515.2,36802
2025-05-01,Southfield,Water,1567283.6,1421175.47,330.3,23646
2025-05-01,Southfield,Sewer,3239017.39,2887786.97,1202.0,2339
2025-05-01,Romulus,Water,4079363.81,4048604.31,405.3,44787
2025-05-01,Romulus,Sewer,3979109.14,3903569.56,820.7,15071
2025-05-01,Wayne County,Water,3370097.6,3077010.93,571.0,5877
2025-05-01,Wayne County,Sewer,3886985.66,3460536.62,946.4,37071
2025-06-01,Detroit,Water,3311534.18,3237979.4,248.5,13473
2025-06-01,Detroit,Sewer,2220808.94,2168230.32,1414.1,4381
2025-06-01,Dearborn,Water,4190384.13,3878847.41,844.0,20970
2025-06-01,Dearborn,Sewer,3780926.77,3331244.98,938.4,9032
2025-06-01,Livonia,Water,3956746.48,3634389.72,790.7,44029
2025-06-01,Livonia,Sewer,2647221.64,2479917.04,1420.1,35044
2025-06-01,Warren,Water,2391270.61,2157340.52,346.4,12649
2025-06-01,Warren,Sewer,3285805.39,3136474.78,1134.2,2923
2025-06-01,Sterling Heights,Water,3304500.84,3208466.37,938.1,14659
2025-06-01,Sterling Heights,Sewer,1396682.71,1366593.76,1366.2,30029
2025-06-01,Troy,Water,2551954.24,2271175.08,1070.0,14109
2025-06-01,Troy,Sewer,4137729.65,3868393.33,1416.6,2447
2025-06-01,Farmington Hills,Water,1686669.94,1529952.91,1179.9,23602
2025-06-01,Farmington Hills,Sewer,1826615.85,1759271.25,214.9,44839
2025-06-01,Southfield,Water,2022477.11,1834740.26,1068.1,32500
2025-06-01,Southfield,Sewer,1843141.56,1707897.2,853.3,22380
2025-06-01,Romulus,Water,3146987.28,3000500.69,1422.8,26087
2025-06-01,Romulus,Sewer,2889726.52,2615779.84,373.6,12039
2025-06-01,Wayne County,Water,2346927.49,2332180.26,685.7,37994
2025-06-01,Wayne County,Sewer,3903509.42,3775065.65,1242.6,16313
